,year,city_code,product_type,product,destinated_area
0,1974-01-01,960b4f2c94a2fb2c,permanent,Others,0.0
1,1974-01-01,746cc42bfb8f6b62,permanent,Others,0.0
2,1974-01-01,6cce2bf873870afc,permanent,Others,0.0
3,1974-01-01,4de42e351006a2ae,permanent,Others,0.0
4,1974-01-01,5b6072f8f6d37acc,permanent,Others,0.0
5,1974-01-01,eac302b92f87d9ca,permanent,Others,0.0
6,1974-01-01,ab984377b2dc0284,permanent,Others,0.0
7,1974-01-01,074590cfc1c41ebf,permanent,Others,0.0
8,1974-01-01,0307883b5d063703,permanent,Others,0.0
9,1974-01-01,062ce4c17e84291e,permanent,Others,0.0
10,1974-01-01,8910840651ee3971,permanent,Others,0.0
11,1974-01-01,4c4428f2e4550a5a,permanent,Others,0.0
12,1974-01-01,86d92d4b0a058014,permanent,Others,0.0
13,1974-01-01,13804a196311e1ba,permanent,Others,0.0
14,1974-01-01,f67358b81451a8d1,permanent,Others,0.0
15,1974-01-01,68f01d67ad163f32,permanent,Others,0.0
16,1974-01-01,71975b563db10671,permanent,Others,0.0
17,1974-01-01,df19203419d2ea64,permanent,Others,0.0
18,1974-01-01,773cbe24d8fc9fea,permanent,Others,0.0
19,1974-01-01,10973d6049af898b,permanent,Others,0.0
20,1974-01-01,cf96db4cc35ea025,permanent,Others,0.0
21,1974-01-01,4b530007d167bd54,permanent,Others,0.0
22,1974-01-01,a4d1e1ff1bc3b830,permanent,Others,0.0
23,1974-01-01,0dcbfaab30eb40c1,permanent,Others,0.0
24,1974-01-01,47564ef7b8c69829,permanent,Others,0.0
25,1974-01-01,1096f26c5a236d0b,permanent,Others,0.0
26,1974-01-01,8ef25b4985bc557a,permanent,Others,0.0
27,1974-01-01,9d8776ac0a78d908,permanent,Others,0.0
28,1974-01-01,07bba1a59af78f2d,permanent,Others,0.0
29,1974-01-01,ba23b66825fc1c91,permanent,Others,0.0
30,1974-01-01,9bd4f108a319de42,permanent,Others,0.0
31,1974-01-01,1d8a692643f9a15a,permanent,Others,0.0
32,1974-01-01,cb23149538de1c42,permanent,Others,0.0
33,1974-01-01,5e1e131ec84f4c87,permanent,Others,0.0
34,1974-01-01,ec84c1e86735dc9b,permanent,Others,0.0
35,1974-01-01,11645a57d3a1d507,permanent,Others,0.0
36,1974-01-01,85adcb13676b6172,permanent,Others,0.0
37,1974-01-01,5b3728d86ce29fd2,permanent,Others,0.0
38,1974-01-01,7f076b180f941ec8,permanent,Others,0.0
39,1974-01-01,2ad055c7757d499d,permanent,Others,0.0
40,1974-01-01,480b0f80325080af,permanent,Others,0.0
41,1974-01-01,f39d21744916469c,permanent,Others,0.0
42,1974-01-01,fa005e1ffef6032a,permanent,Others,0.0
43,1974-01-01,b4829f1e221d9778,permanent,Others,0.0
44,1974-01-01,93656feaf53efbef,permanent,Others,0.0
45,1974-01-01,588162e9cdf5d66d,permanent,Others,0.0
46,1974-01-01,de1994d393ef525a,permanent,Others,0.0
47,1974-01-01,a18af8fbae254d86,permanent,Others,0.0
48,1974-01-01,8ca7766621b0ffe9,permanent,Others,0.0
49,1974-01-01,5e7093a1cd2a8779,permanent,Others,0.0
50,1974-01-01,7b95e27ce402e6e5,permanent,Others,0.0
51,1974-01-01,351174f21316c2f0,permanent,Others,0.0
52,1974-01-01,df2cd1cbe849ebd0,permanent,Others,0.0
53,1974-01-01,617532f74ef8ed73,permanent,Others,0.0
54,1974-01-01,f8e70145d73bd728,permanent,Others,0.0
55,1974-01-01,40abcc3eff7bcf73,permanent,Others,0.0
56,1974-01-01,902f3a9003f7e637,permanent,Others,0.0
57,1974-01-01,d6f1f98b1745e004,permanent,Others,0.0
58,1974-01-01,351bc0cbcce79ec9,permanent,Others,0.0
